category,topic,top
здоровье,X1,которая образа сил удачно ильич специализируется организма санаторий оздоровление нового основе владимир заболеваний здорового названием природа формы ленин perfectee-sport романтичным
магазин,X2,магазин вещей найти которые разных уникальные книги других одежды вещи множество магазинов ручной подарков также работы приобрести магазине аксессуары эксклюзивные
музей,X3,времени одном месте фотографии которой музея ценность стоит чудеса сотрудники появился историческую помощью технологий рассматривать подумать полуразрушенном царского любимых персонажей
метро,X4,года начала станция работу метро декабря работать остров июля название открытия адрес сентября побывать октября садовая определило уровень решение марта
достопримечательность,X5,стороне петроградской петербург церкви расположился ценителей особый сад собирается своими лишь скульптура изюминкой остаётся возраст окно европу изделия устраивают большое
место,X6,время дома особенность б находятся силу воздушные детали проблемами детским тенденция отличительная мистики мероприятий новое своими арт-пространство этажах предупреждение удивлять
место,X7,двери свои также современных библиотека открыты церковь открыл памяти н отечественных открывает гостеприимно авторов детьми городе зоопарк рождества иоанна проект
магазин,X8,магазинов сеть иностранных давно языков свежие рынке продукты которых недавно купить специализируется питания рынок компьютера российском изучении лавка соки магазинами
концертный зал,X9,зал огромный концертный банкетный комплекс помещение французской современный зрительный включает душа расположенный купцов елисеевых петербургским богатству бывшего новый называют атмосферный
вода,X10,метров км высота метра составляет глубина достигает лещ окунь коттеджи баня километра который ленинграда длину плотва ерш длина средняя вуокса
музей,X11,действительно музей красивое петербургского дерево какое лошадь плоды тайны такое воду прекрасным миссия нами огромном пространстве аквариумов подводными рыбами земноводными
достопримечательность,X12,своей стенах красотой голову природой памятники всем живет питер бросить любовь сквер пережить вызов легенды уникальных город возле поселка достопримечательностью
аттракционы,X13,отдых предлагает своим всем посетителям игр гостям взрослым детям любителям радость понравится большой жизни тех кухню месте сеть аттракционов душе
спорт,X14,каток открытым катания хостел покататься коньках типа небом большая летом ледовая популярного зимой любителей площадка уютный новый любой арена крытый
еда,X15,заведение это бар кафе интерьер музыка обстановка уютное атмосфера котором еда формата улице небольшой участие жизни стиле домашний принять вкусная
место,X16,крепости петропавловской часы территории продаются притяжения город кровь сложно уйти интерьера часто работы скрывает храмов отсюда собирались русского галереи обычный
место,X17,одной которых представить невозможно найти нынешнее изучить графом сложно комната российских называется екатерининском героя облик известным помещений демидовых майкла упоминается
достопримечательность,X18,памятник появился двух который парка находится маленький своеобразный установлен удивительный шагах архитектуры собора роль небольшие году возле мысли работы символ
дети,X19,каждый хотите которая свои новые научиться который возможность проект детям ваш стать получить ребенок педагоги помогут студии образование душе сможет
место,X20,мост острова из-за сказку драконов множество связи работа перекинутый реку мойку соединяющий 2-й адмиралтейский названий казанский других фонтан близким каскад
место,X21,петербург знают знает своих московского толк ждёт загадочных найти городом просто этих ребёнка возможно древней необычный стене вопрос комфортных истории
музыка,X22,год круглый зрителей среднего прямо уровня музыку благодаря сюда постоянно проходит гектарах звука уровне надписью волейбол великолепный сотрудников высоком летние
квест,X23,реальности игры квест компании команда виртуальной адреналина реальность приключений загадки квесты приключение ilocked развлечение героев компьютерной компания миры приглашает отправиться
услуги,X24,велосипедов br проката прокат городе храмы народов ещё также vk дворцы дворы некогда сеть атлантов греки самые эрмитажа древней петергоф
еда,X25,проспекте расположен это ресторан дом который невском петербургской небольшой дома домов доме старинном стачек дух стены малой знаменитого комплекс когда-то
парк,X26,районе находится берегу территории парк недалеко финского залива санкт-петербурга района живописном расположился города расположенный невы месте каток имени озеро расположен
дом,X27,всё дома пора создания мебели офиса ландшафтного форму превратить читателям квартиры получили вешалка идею жуковского дизайна стильного питере чаще языках
дети,X28,детей лет малышей занятия взрослых группы возрастов программы занятий групп центр года разных саду театр работает образования студия родителей возраста
дом,X29,уюта своими домашнего моста руками проще славится приходите зимний найдете такое семь второй подходит оказаться дух энергией бывает популярностью лучший
развлечения,X30,выбор широкий любите ночь представьте оружия представлен обычного стрельбы города цирк прогулку санкт-петербургу любимый невероятный ваши местом стрелковый винтовки мишень
искусство,X31,время искусства настоящее которая сад наше стали творчеством ботанический своими своих первую людей императора игра неоднократно задуман очередь первыми государственный
природа,X32,горных руководством лыжах школа сноуборде катания именно которых числе традиционным опытного печенье которая времена веке кататься моста заключается трех ежедневно
учеба,X33,заведения учреждение учебного качества университет образования образовательных своей уровень высокий старинного педагогический подход высшего несмотря вырос учреждений прежде услуг традиции
развлечения,X34,незабываемые формат развлечений новый ощущения основе эмоции впечатления сможете также вкусовые поклонников танца героями почувствовать темноте встреч отличная квест проекта
еда,X35,время провести отдохнуть место друзьями компании вкусно всей кафе сможете день несколько бар вместе вечер посмотреть весело праздник ресторан приятно
место,X36,двор времени просто острова путешествие васильевского всё которого друг гостиный питерских дворов начинается рынок дворик особенно машина сразу нам друга
место,X37,это место отдыха также центр любителей которое котором клуб пространство людей мир своим парк музыки творческих давно семейного увидеть атмосфера
достопримечательность,X38,районе появилась башня одна установлена кировском среди стоит особняк когда-то скульптура усадьба красного кирпича волшебной сказки носит автором дворике принадлежала
учеба,X39,проходят занятия мастер-классы праздники экскурсии ждут самые интересные выставки другие мероприятия концерты увлекательные современное шоу которые тренинги другое вечеринки творческие
